municipio,total_2010,ind_masc_2010,total_2022,ind_masc_2022
PRESIDENTE PERÓN (15),81.141,"98,4",102.106,"96,0"
PUAN                                        ,15.743,"96,3",16.613,"95,2"
PUNTA INDIO (16),9.888,"99,7",12.297,"96,9"
QUILMES,582.943,"93,7",633.348,"92,4"
RAMALLO                                     ,33.042,"97,6",39.730,"96,2"
RAUCH                                       ,15.176,"96,4",16.635,"97,8"
RIVADAVIA                                   ,17.143,"105,0",19.849,"98,2"
ROJAS                                       ,23.432,"94,5",25.627,"94,1"
ROQUE PÉREZ                                 ,12.513,"98,8",13.977,"94,9"
SAAVEDRA                                    ,20.749,"102,7",22.537,"101,9"
SALADILLO                                   ,32.103,"95,5",35.656,"94,7"
SALLIQUELÓ                                  ,8.644,"95,3",9.427,"96,6"
SALTO                                       ,32.653,"95,7",39.425,"95,7"
SAN ANDRÉS DE GILES                         ,23.027,"99,9",26.510,"98,4"
SAN ANTONIO DE ARECO                        ,23.138,"96,3",26.897,"94,3"
SAN CAYETANO                                ,8.399,"98,6",8.994,"96,5"
SAN FERNANDO,163.240,"93,0",171.590,"91,0"
SAN ISIDRO,292.878,"89,6",297.270,"88,5"
SAN MIGUEL (17),276.190,"95,0",328.776,"93,6"
SAN NICOLÁS                                 ,145.857,"95,3",167.824,"94,3"
SAN PEDRO                                   ,59.036,"97,0",68.613,"94,9"
SAN VICENTE (18),59.478,"97,0",98.215,"96,3"
SUIPACHA                                    ,10.081,"97,4",11.786,"95,6"
TANDIL                                      ,123.871,"93,6",145.573,"92,2"
TAPALQUÉ                                    ,9.178,"97,7",10.783,"96,8"
TIGRE,376.381,"96,4",446.925,"94,2"
TORDILLO                                    ,1.764,"111,0",2.542,"107,2"
TORNQUIST                                   ,12.723,"99,8",14.810,"96,4"
TRENQUE LAUQUEN,43.021,"95,8",49.309,"96,1"
TRES ARROYOS,57.110,"94,3",62.426,"94,5"
TRES DE FEBRERO,340.071,"90,8",364.140,"90,4"
TRES LOMAS (19),8.700,"97,3",9.164,"98,7"
25 DE MAYO,35.842,"93,7",35.563,"94,1"
VICENTE LÓPEZ,269.420,"87,6",282.243,"87,4"
VILLA GESELL,31.730,"100,7",37.463,"94,0"
VILLARINO,31.014,"102,2",32.716,"101,3"
ZÁRATE,114.269,"99,4",132.216,"95,8"
