anio,total,0 -14,15 -64,65-,ind_dep_potencial,ind_dep_pot_jovenes,ind_dep_por_ancianos
2010,15.625.084,3.876.553,10.077.275,1.671.256,"55,1","38,5","16,6"
2022,17.522.570,3.832.135,11.541.084,2.149.351,"51,8","33,2","18,6"
